SimpName,EngName,TradName,price,birthday,weight,height,IdioFoot,nationality,contract
罗伯特.肯尼迪,Robert Kenedy Nunes do Nascimento,羅拔堅尼地,900万英镑,1996-02-08,,180,左脚,巴西,2020-06-30
M.阿拉姆巴里,Mauro Wilney Arambarri Rosa,M.亞蘭巴里,1350万英镑,1995-09-30,71,175,右脚,乌拉圭,2023-06-30
费查尔·法尔,Faycal Fajr,法積,405万英镑,1988-08-01,72,179,右脚,摩洛哥、法国,2021-06-30
大卫.萨戈利奥,David Remeseiro Salgueiro Jason,R.積遜,450万英镑,1994-07-06,,178,右脚,西班牙,2020-06-30
迪希奥,Amath Ndiaye Diedhiou,迪希奧,360万英镑,1996-07-16,,173,右脚,塞内加尔,2022-06-30
伊度保,Etebo Oghenekaro,艾迪保,450万英镑,1995-11-09,,174,右脚,尼日利亚,2023-06-30
马克森莫域,Nemanja Maksimovic,馬克森莫域,1350万英镑,1995-01-26,75,184,右脚,塞尔维亚,2024-06-30
莫利纳,Jorge Molina Vidal,佐治摩連拿,180万英镑,1982-04-22,87,188,右脚,西班牙,2021-06-30
安赫尔·罗德里格斯,Angel Luis Rodriguez Diaz,A.洛迪古斯,270万英镑,1987-04-26,73,171,右脚,西班牙,2021-06-30
J.马塔,Jaime Mata,謝美馬達,900万英镑,1988-10-24,,186,右脚,西班牙,2021-06-30
阿方索.冈萨雷斯,Alfonso Gonzalez,阿方索.岡薩雷斯,万英镑,1999-05-04,,,,西班牙,
雨果·杜罗,Hugo Duro,雨果·杜罗,180万英镑,1999-11-10,,180,左脚,西班牙,2022-06-30
恩里克.加列戈,Enrique Gallego Puigsech,恩裏克.加列戈,270万英镑,1986-09-12,,190,左脚,西班牙,2022-06-30
大卫.索里亚,David Soria,大衛蘇拿,1350万英镑,1993-04-04,,192,右脚,西班牙,2022-06-30
莱昂纳多·基基佐拉,Leandro Chichizola,捷切蘇拿,90万英镑,1990-03-27,78,182,右脚,阿根廷、意大利,2021-06-30
鲁本.扬泽,Ruben Yanez,R.恩尼斯,27万英镑,1993-10-12,,188,右脚,西班牙,2020-06-30
F.马洛诺维奇,Filip Manojlovic,F.馬洛努洛域,36万英镑,1996-04-25,,197,右脚,塞尔维亚,2021-06-30
阿伦尼约姆,Allan-Romeo Nyom,尼約姆,270万英镑,1988-05-10,81,189,右脚,喀麦隆、法国,2021-06-30
安图内斯,Vitorino Antunes,安杜尼斯,225万英镑,1987-04-01,70,175,左脚,葡萄牙,2020-06-30
埃切塔,Xabier Etxeita Gorritxategi,艾斯達,180万英镑,1987-10-31,82,186,右脚,西班牙,2021-06-30
卡布雷拉,Leandro Cabrera Sasia,卡尼拿,900万英镑,1991-06-17,81,188,左脚,乌拉圭、西班牙,2021-06-30
达米安·萨科.苏亚雷斯,Damian Nicolas Suarez,達米安蘇亞雷斯,315万英镑,1988-04-27,68,173,右脚,乌拉圭、西班牙,2022-06-30
B.卡布雷拉,Bruno Gonzalez Cabrera,般奴干沙里斯,180万英镑,1990-05-24,,184,右脚,西班牙,2020-06-30
达格马,Djene Dakonam,D.達高拿馬,2250万英镑,1991-12-31,,178,双脚,多哥,2023-06-30
马西亚斯.奥利维拉,Mathi-as Olivera,馬蒂亞斯.奧利瓦拉,270万英镑,1997-10-31,77,183,左脚,乌拉圭、西班牙,2023-06-30
M. 库库雷利亚,Marc Cucurella,M. 库库雷利亚,900万英镑,1998-07-22,,175,左脚,西班牙,2020-06-30
弗洛伦·帕普洛,Florent Poulolo,F.帕普洛,万英镑,1997-01-02,,,,法国,
B.马基尔,Markel Bergara Larranaga,貝加拉,72万英镑,1986-05-05,76,181,右脚,西班牙,2020-06-30
波尔蒂略,Francisco Portillo Soler,F.波迪路,360万英镑,1990-06-13,63,169,右脚,西班牙,2021-06-30
高波域,David Timor Copovi,大衛添馬,135万英镑,1989-10-17,76,185,左脚,西班牙,2022-06-30
罗伯特.肯尼迪,Robert Kenedy Nunes do Nascimento,羅拔堅尼地,900万英镑,1996-02-08,,180,左脚,巴西,2020-06-30
M.阿拉姆巴里,Mauro Wilney Arambarri Rosa,M.亞蘭巴里,1350万英镑,1995-09-30,71,175,右脚,乌拉圭,2023-06-30
费查尔·法尔,Faycal Fajr,法積,405万英镑,1988-08-01,72,179,右脚,摩洛哥、法国,2021-06-30
大卫.萨戈利奥,David Remeseiro Salgueiro Jason,R.積遜,450万英镑,1994-07-06,,178,右脚,西班牙,2020-06-30
迪希奥,Amath Ndiaye Diedhiou,迪希奧,360万英镑,1996-07-16,,173,右脚,塞内加尔,2022-06-30
伊度保,Etebo Oghenekaro,艾迪保,450万英镑,1995-11-09,,174,右脚,尼日利亚,2023-06-30
马克森莫域,Nemanja Maksimovic,馬克森莫域,1350万英镑,1995-01-26,75,184,右脚,塞尔维亚,2024-06-30
莫利纳,Jorge Molina Vidal,佐治摩連拿,180万英镑,1982-04-22,87,188,右脚,西班牙,2021-06-30
安赫尔·罗德里格斯,Angel Luis Rodriguez Diaz,A.洛迪古斯,270万英镑,1987-04-26,73,171,右脚,西班牙,2021-06-30
J.马塔,Jaime Mata,謝美馬達,900万英镑,1988-10-24,,186,右脚,西班牙,2021-06-30
阿方索.冈萨雷斯,Alfonso Gonzalez,阿方索.岡薩雷斯,万英镑,1999-05-04,,,,西班牙,
雨果·杜罗,Hugo Duro,雨果·杜罗,180万英镑,1999-11-10,,180,左脚,西班牙,2022-06-30
恩里克.加列戈,Enrique Gallego Puigsech,恩裏克.加列戈,270万英镑,1986-09-12,,190,左脚,西班牙,2022-06-30
P.摩尼诺,Vicente Moreno Peris,P.摩連奴,万英镑,1974-10-28,81,188,,西班牙,
曼努埃尔·雷纳·罗德里格斯·马诺洛,Manuel Reina Rodriguez Manolo,馬路奴,27万英镑,1985-04-01,80,186,右脚,西班牙,2021-06-30
费比斯奥,Fabricio Agosto Ramirez,法比斯奧,360万英镑,1987-12-31,77,184,双脚,西班牙、乌拉圭,2020-06-30
莱昂德罗,Leandro Monteagud Balaguer,蒙塔古德,27万英镑,1989-02-28,77,186,,西班牙,2020-06-30
比沙,Miquel Parera Piza,比沙,27万英镑,1996-05-18,,182,右脚,西班牙,2021-06-30
F.甘波斯,Fracisco Javier Campos Coll,F.甘波斯,9万英镑,1982-03-10,74,180,右脚,西班牙,2020-06-30
拉里洛.阿里纳斯,Antonio Jose Raillo Arenas,拉爾路,72万英镑,1991-10-08,,187,,西班牙,2021-06-30
A.塞德拉,Aleksandar Sedlar,A.塞德拉,81万英镑,1991-12-13,,180,,塞尔维亚,2023-06-30
卢摩尔,Lumor,卢摩尔,126万英镑,1996-08-15,,175,左脚,加纳,2020-06-30
瓦尔简特,Martin Valjent,雲真特,135万英镑,1995-12-11,,187,右脚,斯洛伐克,2022-06-30
弗兰.盖米兹,Fran Gamez,弗兰.盖米兹,45万英镑,1991-07-27,,174,右脚,西班牙,2022-06-30
加米斯,Francisco Gamez Lopez,加美士,万英镑,1991-07-27,71,174,,西班牙,
琼萨斯特里,Joan Sastri,瓊薩斯特裡,180万英镑,1997-04-30,,174,右脚,西班牙,2023-06-30
科努德,Pierre Cornud,科努德,27万英镑,1996-12-12,,177,,法国,2022-06-30
巴巴,Abdul Rahman Baba,艾度巴巴,450万英镑,1994-07-02,70,179,左脚,加纳,2020-06-30
儒尼奥尔,Lago Junior,拿高祖利亞,180万英镑,1990-12-31,74,180,右脚,科特迪瓦,2023-06-30
沙华西维拿,Salvador Sevilla Lopez,沙華西維拿,18万英镑,1984-03-18,70,178,右脚,西班牙,2021-06-30
D.罗瑞古泽,Daniel Rodriguez,D.羅瑞古澤,万英镑,1984-03-12,75,182,,智利,
丹尼尔·罗德里格斯.瓦兹库兹,Daniel Jose Rodriguez Vazquez,丹尼尔,63万英镑,1988-06-06,71,178,右脚,西班牙,2021-06-30
比达沙,Marc Pedraza Sarto,馬克比達沙,36万英镑,1987-02-06,,184,,西班牙,2020-06-30
亚历山大·特莱科夫斯基,Aleksandar Trajkovski,查高域斯基,180万英镑,1992-09-05,72,179,双脚,马其顿,2023-06-30
亚尼斯.萨里布尔,Yanis Salibur,沙利寶亞,450万英镑,1991-01-24,74,177,左脚,法国、刚果民主共和国,2019-06-30
何塞普·塞内,Josep Sene,約瑟辛尼,22.5万英镑,1991-12-10,,186,右脚,西班牙,2022-06-30
A.法貝斯,Aleix Febas,A.法貝斯,360万英镑,1996-02-22,,172,右脚,西班牙,2023-06-30
A.波索,Alejandro Pozo,A.波索,450万英镑,1999-02-22,,174,右脚,西班牙,2020-06-30
巴巴,Iddrisu Baba,巴巴,45万英镑,1996-01-22,,182,,加纳,2024-06-30
莫伊塔,Sergio Moyita,莫伊塔,27万英镑,1992-09-11,,,,西班牙,2022-06-30
伊德里苏巴,Idrissu Baba,伊德裏蘇巴,万英镑,1996-01-22,,,,加纳,
久保建英,Takefusa Kubo,久保建英,45万英镑,2001-06-04,,173,左脚,日本,2018-12-31
布迪米尔,Ante Budimir,布迪米亞,126万英镑,1991-07-22,75,190,左脚,克罗地亚,2023-06-30
帕布洛·罗查瓦里亚,Pablo Chavarria,查華利亞,225万英镑,1988-01-02,74,185,右脚,阿根廷、意大利,2021-06-30
巴斯蒂达斯,Abdon Prats Bastidas,巴斯迪達斯,72万英镑,1992-12-07,79,181,左脚,西班牙,2021-06-30
A.莫雷诺,Alexander Alegria Moreno,艾利基亞,72万英镑,1992-10-14,,191,右脚,西班牙,2024-06-30
阿巴列斯基泰,Aitor Fernandez Abarisketa,阿巴列斯基泰,225万英镑,1991-05-03,70,182,右脚,西班牙,2022-06-30
奥耶尔,Oier Olazabal,奧拿沙保,225万英镑,1989-09-14,87,189,左脚,西班牙,2021-06-30
科克,Jorge Andujar Moreno Coke,J.高基,180万英镑,1987-04-26,78,176,右脚,西班牙,2022-06-30
奥斯卡·杜亚迪,Oscar Duarte,奧斯卡杜亞迪,90万英镑,1989-06-03,72,186,右脚,哥斯达黎加、尼加拉瓜,2021-06-30
A.东尼奥,Antonio Garcia Aranda Tono,湯奴,90万英镑,1989-11-07,70,180,左脚,西班牙,2023-06-30
S.雷东多,Sergio Postigo Redondo,S.普斯迪高,225万英镑,1988-11-04,,185,右脚,西班牙,2021-06-30
C.卡洛斯,Carlos Clerc Martinez,C.克拿,180万英镑,1992-02-21,62,181,左脚,西班牙,2022-06-30
鲁本.维佐,Ruben Miguel Nunes Vezo,魯賓維素,540万英镑,1994-04-25,,182,右脚,葡萄牙、佛得角,2024-06-30
苏亚雷斯罗伯托,Roberto Suarez Pier,羅巴,225万英镑,1995-02-16,,182,右脚,西班牙,2023-06-30
沙塔格特鲁迪斯,Jorge Miramon Santagertrudis,米拿蒙,270万英镑,1989-06-02,74,175,右脚,西班牙,2021-06-30
贡萨洛佩雷拉,Gonzalo Pereira,贡萨洛佩雷拉,18万英镑,1997-01-20,,164,右脚,乌拉圭,
埃里克,Erick Cabaco,埃里克,360万英镑,1995-04-19,,186,右脚,乌拉圭、意大利,2022-06-30
维迪奇.罗嘉,Nemanja Radoja,维迪奇.罗嘉,540万英镑,1993-02-06,,186,右脚,塞尔维亚,2019-06-30
赫尔兰尼,Hernani,靴蘭尼佐治,225万英镑,1991-08-20,69,180,左脚,葡萄牙、佛得角,2022-06-30
N.胡仙域,Nikola Vukcevic,N.胡仙域,万英镑,1991-12-13,,,,黑山,
何塞.戈麦斯.坎帕纳,Jose Angel Gomez Campana,荷西甘賓拿,1350万英镑,1993-05-31,74,179,右脚,西班牙,2023-06-30
鲁本·罗基纳,Ruben Rochina,R.洛捷拿,360万英镑,1991-03-23,70,182,左脚,西班牙,2021-06-30
G.穆雷罗,Gonzalo Julian Melero Manzanares,梅拿路,360万英镑,1994-01-02,77,183,右脚,西班牙,2023-06-30
尼古拉,Nikola Vukevi,尼古拉,225万英镑,1991-12-13,,187,右脚,黑山,2022-06-30
埃尼斯巴尔齐,Enis Bardhi,埃尼斯巴尔齐,1350万英镑,1995-07-02,,172,右脚,马其顿、阿尔巴尼亚,2022-06-30
摩拉里斯,Jose Luis Morales Martin,荷西摩拉里斯,900万英镑,1987-07-23,,180,右脚,西班牙,2021-06-30
塞尔吉奥.莱昂,Sergio Leon Limones,沙治奧里昂,270万英镑,1989-01-06,73,176,右脚,西班牙,2022-06-30
R.马尔蒂,RogerLast Martiacute Salvador,羅杰馬迪,900万英镑,1991-01-03,,179,右脚,西班牙,2023-06-30
马约拉尔,Borja Mayoral Moya,馬約拉爾,360万英镑,1997-04-05,68,182,右脚,西班牙,2020-06-30
米格尔·莫亚,Miquel Angel Moya Rumbo,莫亞,135万英镑,1984-04-02,75,189,右脚,西班牙,2020-06-30
亚历克斯,Alex Remiro,亞歷克斯,135万英镑,1995-03-24,,191,右脚,西班牙,2023-06-30
安东尼苏维奥雷,Andoni Zubiaurre,安东尼苏维奥雷,27万英镑,1996-12-04,,189,左脚,西班牙,2021-06-30
纳乔·蒙雷亚尔,Nacho Monreal Eraso,蒙利爾,720万英镑,1986-02-26,72,180,左脚,西班牙,2020-06-30
何塞巴.萨尔杜亚,Joseba Zaldua Bengoetxea,J.薩爾杜亞,900万英镑,1992-06-24,59,176,右脚,西班牙,2023-06-30
艾路斯度,Aritz Elustondo,A.艾魯士東度,900万英镑,1994-03-28,72,182,右脚,西班牙,2022-06-30
利奥斯,Diego Javier Llorente Rios,D.羅蘭迪,2250万英镑,1993-08-16,74,186,右脚,西班牙,2022-06-30
R.诺曼德,Robin Le Normand,R.諾曼德,360万英镑,1996-11-11,,187,右脚,法国,2022-06-30
格罗萨贝尔,Gorosabel,格罗萨贝尔,135万英镑,1996-08-04,,174,右脚,西班牙,2021-06-30
莫迪博,Modibo Sagnan,莫迪博,270万英镑,1999-04-14,,187,左脚,法国、马里,2024-06-30
爱恩·卡佩兰,Aihen Munoz Capellan,艾恩梅路斯,675万英镑,1997-08-16,72,175,左脚,西班牙,2022-06-30
朱利安.索郎姆杜萨,David Zurutuza Veillet,蘇魯杜薩,225万英镑,1986-07-19,70,186,右脚,西班牙、法国,2020-06-30
帕尔多,Ruben Pardo Gutierrez,魯賓柏度,360万英镑,1992-10-22,68,181,右脚,西班牙,2020-06-30
贾努扎伊,Adnan Januzaj,贊奴沙,1350万英镑,1995-02-05,64,186,左脚,比利时、科索沃,2022-06-30
克里斯蒂安.波尔图,Cristian Portugues Manzanera,樸度,900万英镑,1992-05-21,,178,右脚,西班牙,2024-06-30
M.梅里诺,Mikel Merino Zazon,米基美連奴,1350万英镑,1996-06-22,,186,左脚,西班牙,2023-06-30
伊利亚拉门迪,Asier Illarramendi,伊拿拉文迪,2250万英镑,1990-03-08,74,179,右脚,西班牙,2023-06-30
米克尔-奥亚尔萨瓦尔,Mikel Oyarzabal,米克爾奧耶查,4500万英镑,1997-04-21,75,181,左脚,西班牙,2024-06-30
伊戈尔.祖比迪亚,Igor Zubeldia,蘇比迪亞,2700万英镑,1997-03-30,,180,右脚,西班牙,2024-06-30
M.奥德高,Martin Odegaard,奧迪加特,1350万英镑,1998-12-17,,178,左脚,挪威,2020-06-30
卢卡.桑加利,Luca Sangalli Fuentes,卢卡.桑加利,360万英镑,1995-02-10,,167,,西班牙,2022-06-30
安德尔·古埃瓦拉,Ander Guevara Lajo,爵維拉,225万英镑,1997-07-07,,180,右脚,西班牙,2024-06-30
A.穆古魯扎,Ander Barrenetxea Muguruza,A.穆古魯扎,900万英镑,2001-12-27,,,,西班牙,2025-06-30
威廉若泽,Willian Jose,威廉若泽,2700万英镑,1991-11-23,,189,右脚,巴西、西班牙,2024-06-30
伊沙克,Alexander Isak,伊沙克,720万英镑,1999-09-21,,190,右脚,瑞典、厄立特里亚,2024-06-30
贾维尔·卡列哈,Javier Calleja Revilla,卡里查,万英镑,1978-05-12,70,171,,西班牙,
费尔南德斯,Andres Fernandez Moreno,F.安祖斯,135万英镑,1986-12-17,86,185,右脚,西班牙,2021-06-30
塞尔吉奥-阿森霍,Sergio Asenjo Andres,沙治奧阿辛祖,1080万英镑,1989-06-28,85,189,右脚,西班牙,2022-06-30
巴尔博萨,Mariano Damian Barbosa,M.巴波沙,36万英镑,1984-07-27,80,188,右脚,阿根廷、意大利,2020-06-30
丹尼尔.迪奥内,Daniel Thioune,D.費奧尼,450万英镑,1985-09-04,78,190,右脚,西班牙,2022-06-30
何塞·摩里,Jose Ramiro Funes Mori,富尼斯摩利,720万英镑,1991-03-05,77,186,左脚,阿根廷,2022-06-30
马里奥,Mario Gaspar Perez MartinezMario,馬里奧加斯柏,900万英镑,1990-11-24,71,180,右脚,西班牙,2023-06-30
劳尔·阿尔比奥尔,Raul Albiol Tortajada,R.艾比奧爾,450万英镑,1985-09-04,80,190,右脚,西班牙,2022-06-30
阿尔伯托·莫雷诺,Alberto Moreno,艾拔圖摩蘭奴,810万英镑,1992-07-05,65,171,左脚,西班牙,2024-06-30
鲁宾彭拿,Ruben Pena Jimenez,魯賓彭拿,900万英镑,1991-07-18,65,170,右脚,西班牙,2024-06-30
保罗托雷斯,Pau Torres,利巴,360万英镑,1997-01-16,,191,左脚,西班牙,2020-06-30
哈维-昆蒂利亚,Xavi Quintilla,哈威-昆蒂利亞,90万英镑,1996-08-23,,179,左脚,西班牙,2020-06-30
圣地亚哥·卡索拉,Santigo Cazorla Gonzalez,辛迪卡索拉,360万英镑,1984-12-13,66,168,双脚,西班牙,2020-06-30
布鲁诺·索里亚诺,Bruno Soriano Llido,般奴蘇利安奴,72万英镑,1984-06-12,77,184,左脚,西班牙,2020-06-30
朱塞佩·罗西,Giuseppe Rossi,G.羅斯,90万英镑,1987-02-01,73,173,左脚,意大利、美国,2018-06-30
特里格罗斯,Manuel Trigueros Munoz,特基路斯,1350万英镑,1991-10-17,70,178,右脚,西班牙,2022-06-30
M.波度纳多,Moises Gomez Bordonado,摩西斯高美斯,450万英镑,1994-06-23,65,176,右脚,西班牙,2023-06-30
伊沃拉,Vicente Iborra,伊保拿,810万英镑,1988-01-16,76,190,右脚,西班牙,2023-06-30
A.扎马巴,Andre Zambo Anguissa,森保安古沙,2250万英镑,1995-11-16,,184,右脚,喀麦隆,2020-06-30
哈维·奧迪維羅斯,Javi Ontiveros,安迪維路斯,540万英镑,1997-09-09,,175,右脚,西班牙,2024-06-30
卡斯里斯,Santiago Caseres,S.卡瑟雷斯,900万英镑,1997-02-25,,177,右脚,阿根廷,2023-06-30
拉米罗.格拉,Ramiro Guerra,拉米罗·格拉,18万英镑,1997-03-21,,183,右脚,乌拉圭、西班牙,2020-06-30
曼努埃尔.莫兰里斯,Manuel Morlanes,曼努埃尔.莫兰里斯,225万英镑,1999-01-12,,178,右脚,西班牙,2023-06-30
查克胡斯,Samuel Chimerenka Chukwueze,查克胡斯,2700万英镑,1999-05-22,,172,左脚,尼日利亚,2023-06-30
伊万·马丁,Ivan Martin,I.馬丁,万英镑,1999-02-14,,,,西班牙,
阿马杜·奥纳纳,Amadou Onana,阿馬度·奧拿拿,万英镑,2001-08-16,,,,比利时,
G.巴拉古尔诺,Gerard Moreno Balaguero,M.謝拉特,1575万英镑,1992-04-07,75,180,左脚,西班牙,2023-06-30
卡洛斯.巴卡,Carlos Bacca,卡路士巴卡,450万英镑,1986-09-08,76,181,右脚,哥伦比亚,2022-06-30
迭戈·帕布洛·西蒙尼,Diego Pablo Simeone,施蒙尼,万英镑,1970-04-28,70,178,,阿根廷,
安东尼奥·阿丹,Antonio Adan Garrido,艾丹,135万英镑,1987-05-13,90,190,左脚,西班牙,2020-06-30
奥布拉克,Jan Oblak,奧比歷,9000万英镑,1993-01-07,,188,右脚,斯洛文尼亚,2023-06-30
基兰·特里皮尔,Kieran Trippier,捷比亞,3150万英镑,1990-09-19,71,173,右脚,英格兰,2022-06-30
圣地亚哥·阿里亚斯,Santiago Arias Naranjo,阿里亞斯,1620万英镑,1992-01-13,67,177,右脚,哥伦比亚,2023-06-30
吉梅内斯,Jose Maria Gimenez de Vargas,荷西基文尼斯,6300万英镑,1995-01-20,80,185,右脚,乌拉圭、西班牙,2023-06-30
费利佩,Felipe Augusto de Almeida Monteiro,菲臘比蒙迪路,1800万英镑,1989-05-16,76,191,右脚,巴西,2022-06-30
塞姆·福萨里科,Sime Vrsaljko,維沙爾高,1800万英镑,1992-01-10,75,181,右脚,克罗地亚,2022-06-30
R.里柯弥,Rodrigo Riquelme,R.列基美,22.5万英镑,1984-06-01,85,191,右脚,巴拉圭、智利,
斯蒂芬.萨维奇,Stefan Savic,S.沙域,3150万英镑,1991-01-08,73,187,右脚,黑山,2020-06-30
马里奥-埃尔莫索,Mario Hermoso Canseco,靴摩素,2250万英镑,1995-06-18,69,184,左脚,西班牙,2024-06-30
雷南-洛迪,Renan Augusto Lodi Dos Santos,連拿洛迪,360万英镑,1998-04-08,,179,左脚,巴西,2025-06-30
科克,Jorge Resurreccion Merodio Koke,佐治高基,6300万英镑,1992-01-08,73,176,右脚,西班牙,2024-06-30
安赫尔.科雷亚,Angel Correa,安祖哥利亞,3150万英镑,1995-03-09,,171,右脚,阿根廷、西班牙,2024-06-30
维托洛,Victor Machin Perez Vitolo,域度奴,1620万英镑,1989-11-02,78,185,右脚,西班牙,2022-06-30
萨乌尔,Saul Niguez Esclapez,沙奧尼古斯,8100万英镑,1994-11-21,70,184,左脚,西班牙,2026-06-30
H.埃雷拉,Hector Miguel Herrera Lopez,希陀靴里拉,1980万英镑,1990-04-19,72,180,右脚,墨西哥、葡萄牙,2022-06-30
马科斯略伦特,Marcos Llorente Moreno,馬高斯羅蘭迪,1800万英镑,1995-01-30,,184,右脚,西班牙,2024-06-30
托马斯·勒马尔,Thomas Lemar,托馬斯·利馬,3600万英镑,1995-11-12,46,171,左脚,法国、瓜德罗普,2023-06-30
托马斯·帕尔特伊,Thomas Partey,湯馬士,4500万英镑,1993-06-13,,185,右脚,加纳,2023-06-30
若奥.费利克斯,Joao Felix Sequeira,祖奧菲歷斯,6300万英镑,1999-11-10,,180,右脚,葡萄牙,2026-06-30
莫亚,Antonio Moya Vega,安東尼奧莫亞維加,万英镑,1998-03-20,,176,,西班牙,
加尔塞斯莫雷诺,Borja Garces Moreno,加爾塞斯莫雷諾,270万英镑,1999-08-06,,183,右脚,西班牙,2022-06-30
M.桑切斯,Manuel Sanchez De La Pena,M.桑切斯,万英镑,2000-08-24,,,,西班牙,
胡安·马努埃尔,Juan Manuel Sanabria,祖安文奴爾,万英镑,2000-03-29,70,173,,乌拉圭,
阿尔法罗-莫拉塔,Alvaro Morata,摩拉達,4500万英镑,1992-10-23,80,187,右脚,西班牙,2020-06-30
I.沙波尼奇,Ivan Saponjic,I.沙波尼奇,81万英镑,1997-08-02,,192,右脚,塞尔维亚,2022-06-30
迭戈·科斯塔,Diego Da Silva Costa,迪亞高哥斯達,2250万英镑,1988-10-07,85,186,右脚,西班牙、巴西,2021-06-30
达里奥·波维达,Dario Poveda Romera,D.波維達,万英镑,1997-03-13,,185,,西班牙,
奥斯卡·加西亚,Oscar Garcia Junyent,奧斯卡·加西亞,万英镑,1973-04-26,80,184,,西班牙,
塞尔吉奥,Sergio Alvarez Conde,S.干迪,180万英镑,1986-08-03,74,179,右脚,西班牙,2020-06-30
布兰科,Ruben Sergio Veiga,R.白蘭高,270万英镑,1995-07-25,70,188,右脚,西班牙,2023-06-30
伊万·比利亚尔,Ivan Villar,韋拿,27万英镑,1997-07-09,,189,右脚,西班牙,2023-06-30
弗兰西斯科·巴博萨·维特斯,Francisco Barbosa Vieites,F.維特斯,万英镑,1999-05-07,,,,西班牙,
马洛,Hugo Mallo Novegil,曉高馬路,1350万英镑,1991-06-22,69,174,右脚,西班牙,2023-06-30
穆里略,Jeison Fabian Murillo Ceron,謝遜梅里路,720万英镑,1992-05-27,72,182,右脚,哥伦比亚、西班牙,2023-06-30
戴维科斯塔,David Costas,哥斯達斯,270万英镑,1995-03-26,,184,右脚,西班牙,2022-06-30
勒内,David Junca Rene,大衛祖卡,135万英镑,1993-11-16,,178,左脚,西班牙,2023-06-30
奥拿沙保,Lucas Olaza,奧拿沙保,315万英镑,1994-07-21,68,176,左脚,乌拉圭,2020-06-30
尼斯图尔·阿劳约,Nestor Alejandro Araujo Razo,N.阿拿奧祖,720万英镑,1991-08-29,85,188,右脚,墨西哥,2023-06-30
凯文.巴斯克斯,Kevin Vazquez Comesana,凱文·巴斯克斯,45万英镑,1993-03-23,,175,右脚,西班牙,2023-06-30
约瑟夫·艾杜,Joseph Aidoo,J.艾爾多,360万英镑,1995-09-29,,184,右脚,加纳,2024-06-30
佐治,Jorge Saenz de Miera Colmeiro Jorge,佐治,270万英镑,1996-11-17,,190,右脚,西班牙,2021-06-30
塞尔吉奥·卡雷拉,Sergio Carreira,S.卡雷拉,万英镑,2000-10-13,,,,西班牙,
席思图,Pione Sisto,西斯圖,720万英镑,1995-02-04,,172,右脚,丹麦、乌干达,2021-06-30
丹尼斯.苏亚雷斯,Denis Suarez Fernandez,丹尼斯蘇亞雷斯,1080万英镑,1994-01-06,69,176,右脚,西班牙,2023-06-30
拉菲尼亚,Rafael Alcantara Rafinha,A.拉芬哈,1350万英镑,1993-02-12,65,174,左脚,巴西、西班牙,2020-06-30
佩普谢赫,Pape Cheikh Diop Gueye,佩普谢赫,630万英镑,1997-08-08,,180,右脚,西班牙、塞内加尔,2020-06-30
O.尤库斯路,Okay Yokuslu,約克烏斯路,1080万英镑,1994-03-09,80,191,右脚,土耳其,2023-06-30
F.本谭,Francisco Beltran,F.本谭,1620万英镑,1999-02-03,,172,右脚,西班牙,2023-06-30
布雷斯门德斯,Brais Mendez,布雷斯門德斯,1800万英镑,1997-01-07,,184,左脚,西班牙,2021-06-30
I.阿斯帕斯,Iago Aspas Juncal,艾斯柏斯,2250万英镑,1987-08-01,67,176,左脚,西班牙,2023-06-30
胡安.赫尔南德斯,Juan Hernandez,胡安.哈爾南德斯,万英镑,1993-08-17,,181,,阿根廷,
J.苏亚雷斯,Juan Camilo Hernandez Suarez,J.蘇亞雷斯,900万英镑,1999-04-22,,176,右脚,哥伦比亚,2020-06-30
利迪斯,Gabriel Matias Fernandez Leites,G.費蘭迪斯,270万英镑,1994-05-13,80,186,右脚,乌拉圭,2023-06-30
S.米拿,Santiago Mina Lorenzo,辛迪米拿,2700万英镑,1995-12-07,71,181,右脚,西班牙,2024-06-30
迭戈·马丁内斯,Diego Martinez,迭戈·馬丁內斯,万英镑,1980-12-16,,,,西班牙,
R.席尔瓦,Rui Silva,R.施華,225万英镑,1994-02-07,84,191,左脚,葡萄牙,2021-06-30
亚伦埃斯坎德利,Aaron Escandell,艾斯簡迪,27万英镑,1995-09-27,,185,右脚,西班牙,2020-06-30
伊斯梅尔·科伊巴斯,Ismail Koybasi,高爾巴斯,135万英镑,1989-07-10,76,178,左脚,土耳其,2019-06-30
奎尼,Joaquin Jose Marin RuzQuini,昆尼馬連,63万英镑,1989-09-24,,178,右脚,西班牙,2020-06-30
D.弗里克尔,Dimitri Foulquier,科基爾,225万英镑,1993-03-23,78,183,右脚,瓜德罗普、法国,2019-06-30
V.米基尔,Victor David Diaz Miguel,V.米基爾,108万英镑,1988-06-12,72,183,右脚,西班牙,2022-06-30
A.桑切斯,Alejandro Martinez Sanchez,阿歷士馬天尼斯,90万英镑,1990-08-12,64,176,左脚,西班牙,2021-06-30
格尔曼.桑切斯,German Sanchez Barahona,基文山度士,45万英镑,1986-10-31,,187,右脚,西班牙、哥斯达黎加,2021-06-30
D.杜亚特,Domingos Duarte,迪明哥斯,225万英镑,1995-03-10,,192,右脚,葡萄牙,2023-06-30
乔斯.安东尼奥.马丁内兹,Jose Antonio Martinez,安东尼奥.马丁内兹,108万英镑,1993-02-12,,191,左脚,西班牙,2020-06-30
N.洛泽诺,Neyder Lozano,N.洛澤諾,54万英镑,1994-03-04,,185,左脚,哥伦比亚,2022-06-30
